DeveloperId,Name,ProjectId
Stephen Colebourne,Stephen Colebourne,joda-time
Brian S O'Neill,Brian S O'Neill,joda-time
Al Major,Al Major,joda-time
Mario Ivankovits,Mario Ivankovits,joda-time
Jim Newsham,Jim Newsham,joda-time
Christopher Gardner,Christopher Gardner,joda-time
Jeremy Rickard,Jeremy Rickard,joda-time
Gregory Joseph,Gregory Joseph,joda-time
rintcius,rintcius,joda-time
Dave Brosius,Dave Brosius,joda-time
Vidar Larsen,Vidar Larsen,joda-time
Jeff Lavallee,Jeff Lavallee,joda-time
John Fletcher,John Fletcher,joda-time
dancojocar,dancojocar,joda-time
Hajime Senuma,Hajime Senuma,joda-time
Martin Kneissl,Martin Kneissl,joda-time
Michael Plump,Michael Plump,joda-time
Christopher Elkins,Christopher Elkins,joda-time
Oren Benjamin,Oren Benjamin,joda-time
Bram,Bram,joda-time
mjunginger,mjunginger,joda-time
RenniePet,RenniePet,joda-time
Vsevolod Ivanov,Vsevolod Ivanov,joda-time
Björn Pollex,Björn Pollex,joda-time
Artur Dryomov,Artur Dryomov,joda-time
Peter Marsh,Peter Marsh,joda-time
David Haguenauer,David Haguenauer,joda-time
Rowan Hill,Rowan Hill,joda-time
Keith Amling,Keith Amling,joda-time
Jorge Perez Alvarez,Jorge Perez Alvarez,joda-time
Fabian Lange,Fabian Lange,joda-time
Craig Gidney,Craig Gidney,joda-time
vrozkovec,vrozkovec,joda-time
Chung-yeol Lee,Chung-yeol Lee,joda-time
Grzegorz Świerczyński,Grzegorz Świerczyński,joda-time
LongHua Huang,LongHua Huang,joda-time
Valentin Nastasache,Valentin Nastasache,joda-time
Kwang Kim,Kwang Kim,joda-time
Jim Gough,Jim Gough,joda-time
Ed Wagstaff,Ed Wagstaff,joda-time
William Delanoue,William Delanoue,joda-time
Dan Cavallaro,Dan Cavallaro,joda-time
jishi9,jishi9,joda-time
Arend v. Reinersdorff,Arend v. Reinersdorff,joda-time
KAWACHI Takashi,KAWACHI Takashi,joda-time
Tiem Song,Tiem Song,joda-time
Hans Joachim Desserud,Hans Joachim Desserud,joda-time
Emiliano Clariá,Emiliano Clariá,joda-time
Alex,Alex,joda-time
Ing. Jan Kaláb,Ing. Jan Kaláb,joda-time
Rok Piltaver,Rok Piltaver,joda-time
Emop Project,Emop Project,joda-time
Buryakov Dmitry,Buryakov Dmitry,joda-time
Kivanc Sunkar,Kivanc Sunkar,joda-time
emopers,emopers,joda-time
Brendan Humphreys,Brendan Humphreys,joda-time
Adrian-Ryan Acala,Adrian-Ryan Acala,joda-time
Arthur Carlsson,Arthur Carlsson,joda-time
Brian Melton,Brian Melton,joda-time
Can Yapan,Can Yapan,joda-time
john9x,john9x,joda-time
Evgeniy Devyatykh,Evgeniy Devyatykh,joda-time
Jason Tedor,Jason Tedor,joda-time
Kaj Hejer,Kaj Hejer,joda-time
Afif Ahmed,Afif Ahmed,joda-time
Jericho,Jericho,joda-time
Katy Pedelty,Katy Pedelty,joda-time
Paul Martin,Paul Martin,joda-time
John Brunton,John Brunton,joda-time
Rick Jensen,Rick Jensen,joda-time
Sebastian Kürten,Sebastian Kürten,joda-time
Michael Ernst,Michael Ernst,joda-time
Mikey Austin,Mikey Austin,joda-time
Alberto Scotto,Alberto Scotto,joda-time
靳阳,靳阳,joda-time
yang.jin,yang.jin,joda-time
Michael Hausegger,Michael Hausegger,joda-time
Zhanbolat Raimbekov,Zhanbolat Raimbekov,joda-time
Vadim Varnavsky,Vadim Varnavsky,joda-time
Alex Anderson,Alex Anderson,joda-time
Kurt Alfred Kluever,Kurt Alfred Kluever,joda-time
Greg,Greg,joda-time
Hélène Martin,Hélène Martin,joda-time
Stephen Colebourne (CI),Stephen Colebourne (CI),joda-time
Anton Qiu,Anton Qiu,joda-time
adelviscio,adelviscio,joda-time
Alexander Shopov,Alexander Shopov,joda-time
Niklas Fiekas,Niklas Fiekas,joda-time
Vincent Privat,Vincent Privat,joda-time
Brad Arndt,Brad Arndt,joda-time
Brenna Heaps,Brenna Heaps,joda-time
Michael Sotnikov,Michael Sotnikov,joda-time
aleksandr_kolinchenko@epam.com,aleksandr_kolinchenko@epam.com,joda-time
Dave Syer,Dave Syer,joda-time
github-actions[bot],github-actions[bot],joda-time
Matt Johnson-Pint,Matt Johnson-Pint,joda-time
dependabot[bot],dependabot[bot],joda-time
Dominik Baláž,Dominik Baláž,joda-time
Kuunh,Kuunh,joda-time
Sergi Almacellas Abellana,Sergi Almacellas Abellana,joda-time
Mikel Larreategi,Mikel Larreategi,joda-time
H. Z. Sababa,H. Z. Sababa,joda-time
mo20053444,mo20053444,joda-time
Mustofa,Mustofa,joda-time
syafiqnazim,syafiqnazim,joda-time
Besnik Bleta,Besnik Bleta,joda-time
DavidKorczynski,DavidKorczynski,joda-time
Antonio Hernan,Antonio Hernan,joda-time
Cyril de Catheu,Cyril de Catheu,joda-time
Chris Povirk,Chris Povirk,joda-time
